"","NestID","SiteID","NestDepthcm","midNestDepthcm","lat","lon","AWCforRootableSoilDepthHWSD","CoarseFragmentsHWSD","SandHWSD","SiltHWSD","ClayHWSD","BulkDensityHWSD","ReferenceBulkDensityHWSD","OrganicCarbonContentHWSD","lat2","lon2","bdod_0.5cm_mean","bdod_100.200cm_mean","bdod_15.30cm_mean","bdod_30.60cm_mean","bdod_5.15cm_mean","bdod_60.100cm_mean","cfvo_0.5cm_mean","cfvo_100.200cm_mean","cfvo_15.30cm_mean","cfvo_30.60cm_mean","cfvo_5.15cm_mean","cfvo_60.100cm_mean","clay_0.5cm_mean","clay_100.200cm_mean","clay_15.30cm_mean","clay_30.60cm_mean","clay_5.15cm_mean","clay_60.100cm_mean","ocd_0.5cm_mean","ocd_100.200cm_mean","ocd_15.30cm_mean","ocd_30.60cm_mean","ocd_5.15cm_mean","ocd_60.100cm_mean","sand_0.5cm_mean","sand_100.200cm_mean","sand_15.30cm_mean","sand_30.60cm_mean","sand_5.15cm_mean","sand_60.100cm_mean","silt_0.5cm_mean","silt_100.200cm_mean","silt_15.30cm_mean","silt_30.60cm_mean","silt_5.15cm_mean","silt_60.100cm_mean"
"49","C_socius11","Tschinkel05_Apalachicola",21,10.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"50","C_socius12","Tschinkel05_Apalachicola",30.14,15.07,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"51","C_socius14","Tschinkel05_Apalachicola",78.51,39.255,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"52","C_socius16","Tschinkel05_Apalachicola",32.25,16.125,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"53","C_socius20","Tschinkel05_Apalachicola",73.54,36.77,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"54","C_socius21","Tschinkel05_Apalachicola",49.15,24.575,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"55","C_socius23","Tschinkel05_Apalachicola",48.49,24.245,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"56","C_socius24","Tschinkel05_Apalachicola",45,22.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"57","C_socius6","Tschinkel05_Apalachicola",46.09,23.045,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"58","C_socius8","Tschinkel05_Apalachicola",31.72,15.86,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"59","C_socius9","Tschinkel05_Apalachicola",47,23.5,30.0998,-84.7316,79,14,75,20,5,1.19,1.27,3.3,NA,NA,126,159,147,153,139,157,7,4,7,7,7,3,27,132,32,48,27,91,337,24,109,83,169,54,892,795,886,871,891,829,81,73,82,81,83,80
"60","E_opaciventre2","Antonialli97_RioClaro",18,9,-22.4108,-47.5596,180,3,41,23,36,1.31,1.91,1.6,NA,NA,128.160253867513,126.20071400238,129.499801666006,126.238794129314,129.043633478778,125.633875446251,64.2411948283549,97.0485956308516,69.4748105216228,90.5385644226483,65.8974587605885,89.0646455639768,390.878288007133,463.730717788676,408.290236290682,477.666072224699,404.387427552385,480.708426214891,329.056174765939,38.6633972358449,177.953633526527,101.983058403923,248.64422648239,63.3160945162729,466.44092732947,386.583593401694,435.028087382969,381.016941596077,446.551047703968,375.572893446277,142.822113241195,149.686580472581,156.608114132858,141.614801604993,148.920196165849,143.629959875167
"61","E_opaciventre3","Antonialli97_RioClaro",38,19,-22.4108,-47.5596,180,3,41,23,36,1.31,1.91,1.6,NA,NA,128.160253867513,126.20071400238,129.499801666006,126.238794129314,129.043633478778,125.633875446251,64.2411948283549,97.0485956308516,69.4748105216228,90.5385644226483,65.8974587605885,89.0646455639768,390.878288007133,463.730717788676,408.290236290682,477.666072224699,404.387427552385,480.708426214891,329.056174765939,38.6633972358449,177.953633526527,101.983058403923,248.64422648239,63.3160945162729,466.44092732947,386.583593401694,435.028087382969,381.016941596077,446.551047703968,375.572893446277,142.822113241195,149.686580472581,156.608114132858,141.614801604993,148.920196165849,143.629959875167
"62","E_opaciventre4","Antonialli97_RioClaro",32,16,-22.4108,-47.5596,180,3,41,23,36,1.31,1.91,1.6,NA,NA,128.160253867513,126.20071400238,129.499801666006,126.238794129314,129.043633478778,125.633875446251,64.2411948283549,97.0485956308516,69.4748105216228,90.5385644226483,65.8974587605885,89.0646455639768,390.878288007133,463.730717788676,408.290236290682,477.666072224699,404.387427552385,480.708426214891,329.056174765939,38.6633972358449,177.953633526527,101.983058403923,248.64422648239,63.3160945162729,466.44092732947,386.583593401694,435.028087382969,381.016941596077,446.551047703968,375.572893446277,142.822113241195,149.686580472581,156.608114132858,141.614801604993,148.920196165849,143.629959875167
"63","E_opaciventre5","Antonialli97_RioClaro",54,27,-22.4108,-47.5596,180,3,41,23,36,1.31,1.91,1.6,NA,NA,128.160253867513,126.20071400238,129.499801666006,126.238794129314,129.043633478778,125.633875446251,64.2411948283549,97.0485956308516,69.4748105216228,90.5385644226483,65.8974587605885,89.0646455639768,390.878288007133,463.730717788676,408.290236290682,477.666072224699,404.387427552385,480.708426214891,329.056174765939,38.6633972358449,177.953633526527,101.983058403923,248.64422648239,63.3160945162729,466.44092732947,386.583593401694,435.028087382969,381.016941596077,446.551047703968,375.572893446277,142.822113241195,149.686580472581,156.608114132858,141.614801604993,148.920196165849,143.629959875167
"64","E_opaciventre6","Antonialli97_RioClaro",44,22,-22.4108,-47.5596,180,3,41,23,36,1.31,1.91,1.6,NA,NA,128.160253867513,126.20071400238,129.499801666006,126.238794129314,129.043633478778,125.633875446251,64.2411948283549,97.0485956308516,69.4748105216228,90.5385644226483,65.8974587605885,89.0646455639768,390.878288007133,463.730717788676,408.290236290682,477.666072224699,404.387427552385,480.708426214891,329.056174765939,38.6633972358449,177.953633526527,101.983058403923,248.64422648239,63.3160945162729,466.44092732947,386.583593401694,435.028087382969,381.016941596077,446.551047703968,375.572893446277,142.822113241195,149.686580472581,156.608114132858,141.614801604993,148.920196165849,143.629959875167
"65","E_opaciventre7","Antonialli97_RioClaro",45,22.5,-22.4108,-47.5596,180,3,41,23,36,1.31,1.91,1.6,NA,NA,128.160253867513,126.20071400238,129.499801666006,126.238794129314,129.043633478778,125.633875446251,64.2411948283549,97.0485956308516,69.4748105216228,90.5385644226483,65.8974587605885,89.0646455639768,390.878288007133,463.730717788676,408.290236290682,477.666072224699,404.387427552385,480.708426214891,329.056174765939,38.6633972358449,177.953633526527,101.983058403923,248.64422648239,63.3160945162729,466.44092732947,386.583593401694,435.028087382969,381.016941596077,446.551047703968,375.572893446277,142.822113241195,149.686580472581,156.608114132858,141.614801604993,148.920196165849,143.629959875167
"66","E_opaciventre8","Antonialli97_RioClaro",48,24,-22.4108,-47.5596,180,3,41,23,36,1.31,1.91,1.6,NA,NA,128.160253867513,126.20071400238,129.499801666006,126.238794129314,129.043633478778,125.633875446251,64.2411948283549,97.0485956308516,69.4748105216228,90.5385644226483,65.8974587605885,89.0646455639768,390.878288007133,463.730717788676,408.290236290682,477.666072224699,404.387427552385,480.708426214891,329.056174765939,38.6633972358449,177.953633526527,101.983058403923,248.64422648239,63.3160945162729,466.44092732947,386.583593401694,435.028087382969,381.016941596077,446.551047703968,375.572893446277,142.822113241195,149.686580472581,156.608114132858,141.614801604993,148.920196165849,143.629959875167
